model,correction_family,calibration_scope,uses_scored_target,n_eval,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse,s0,tau_s,dynamic_gain_ohm,voltage_offset_mv,prefix_s0,prefix_voltage_offset_mv,prefix_cost,soc_delta,q_assumed_ah
BATT4a2_R0T_prefix_s0,baseline,prefix_s0_only,False,47086,436.5653478288773,243.46159645083506,1315.4671542133422,233.95348820370864,1.0955378846143384,0.98,,,,,,,,
BATT4c_qtau50_prefix_s0,selected_dynamic,train_gain_prefix_s0,False,47086,436.28839473978826,243.20942558533312,1315.6169144063335,231.57688425849238,1.0948428853367573,,50.0,0.016221295236863928,,,,,,
prefix_voltage_offset_only,voltage_offset,prefix_0_300s,False,47086,612.5046049330884,489.18999314656645,1570.7036319553517,489.1899659457182,1.5370482392660276,,,,255.23647774200953,,,,,
oracle_score_voltage_offset,voltage_offset,score_oracle,True,47086,368.5852252631212,315.58486986445007,1081.5136660096337,3.8631215298514557e-14,0.9249453260388827,,,,-233.95348820370864,,,,,
prefix_s0_plus_voltage_offset,soc_and_voltage_offset,prefix_0_300s,False,47086,612.5046031469054,489.18999091164386,1570.7036297189093,489.1899637092756,1.537048234783695,,,,,0.98,255.23647550556694,1.4907514335618544e-06,,
oracle_soc_delta_only,soc_shift,score_oracle,True,47086,241.95787788268612,138.345178675694,927.288629440868,98.9001314136398,0.6071806271836186,,,,,,,,-0.21,
oracle_soc_delta_plus_voltage_offset,soc_shift_and_voltage_offset,score_oracle,True,47086,219.4225948421252,183.45407744962756,823.0722135427386,-2.0281388031720143e-13,0.5506295141962483,,,,-104.21641589812914,,,,-0.2,
oracle_s0_capacity_only,s0_capacity,score_oracle,True,47086,241.01696732053898,130.30103783531965,927.288629440868,107.25301341787828,0.6048194613879541,0.95,,,,,,,,2.0
oracle_s0_capacity_plus_voltage_offset,s0_capacity_and_voltage_offset,score_oracle,True,47086,212.32427857098483,177.13061211414367,811.0881166135406,1.0623584207091504e-13,0.532816661136145,0.99,,,-116.20051282732744,,,,,1.95
