model,split,n_score,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse
constant_ecm,test_cell_transfer,47086,452.9329523034353,260.88010361157126,1348.7620120833599,259.86543223395415,1.136611531140425
constant_ecm,test_high_amplitude,39460,37.41936992069095,29.125921833872148,178.73743889606519,25.951612632768743,0.8302445716939645
constant_ecm,train,263165,94.51108246822511,51.5103596204117,662.8250184186146,45.11845329906482,0.4661753984237118
constant_ecm,validation_temperature,186800,154.65823591895796,105.00583522916841,761.8621013626954,103.32955373165329,0.9186353833633345
ocv_only,test_cell_transfer,47086,452.9625263466791,260.93679598549187,1348.7614926744418,259.58223135216866,1.1366857456536383
ocv_only,test_high_amplitude,39460,37.59886715940856,29.038332049051355,231.9718098278276,25.60470772548145,0.8342271777184703
ocv_only,train,263165,94.20342049890627,51.33280583511992,662.8224102820333,44.84068022934578,0.46465785743929605
ocv_only,validation_temperature,186800,154.3204053329441,104.82842468904747,761.857019990122,103.05714986802158,0.9166287451261226
ohmic_only,test_cell_transfer,47086,452.96252634893307,260.93679599608174,1348.7614928570104,259.58223135890137,1.1366857456592945
ohmic_only,test_high_amplitude,39460,37.59886722090186,29.03833207894308,231.9718098278276,25.604707734120616,0.8342271790828566
ohmic_only,train,263165,94.20329251841409,51.33238130314219,662.822410380256,44.83859242711349,0.46465722617621685
ohmic_only,validation_temperature,186800,154.3204053490263,104.82842470067756,761.8570201655795,103.0571498777019,0.9166287452216472
