model,baseline_model,split,baseline_rmse_mv,model_rmse_mv,improvement_percent
BATT3c_OCV_discharge_only,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.6435772917556,-0.19379271468419906
BATT3c_OCV_discharge_only,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,27.184160313577383,22.677249888100256
BATT3c_OCV_discharge_only,BATT3c_constant_ecm,train,52.442672171675596,59.88782414017522,-14.196744102068784
BATT3c_OCV_discharge_only,BATT3c_constant_ecm,validation_temperature,79.30612770895797,91.38858065613626,-15.235207286275708
BATT3c_constant_ohmic,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.2182971136297,-0.09620640807436233
BATT3c_constant_ohmic,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,41.62984728742219,-18.412128308195943
BATT3c_constant_ohmic,BATT3c_constant_ecm,train,52.442672171675596,53.25813135645518,-1.5549535349955252
BATT3c_constant_ohmic,BATT3c_constant_ecm,validation_temperature,79.30612770895797,80.47388633937413,-1.472469611303763
BATT4a_R0_slot_STLSQ_dense,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.8409390673976,-0.23908005169513993
BATT4a_R0_slot_STLSQ_dense,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,281.1028184877777,-699.5701444868641
BATT4a_R0_slot_STLSQ_dense,BATT3c_constant_ecm,train,52.442672171675596,40.845833243857335,22.113363884004638
BATT4a_R0_slot_STLSQ_dense,BATT3c_constant_ecm,validation_temperature,79.30612770895797,69.9114980066268,11.846032549726933
BATT4a_R0_slot_STLSQ_t0.0001,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.8409390673976,-0.23908005169513993
BATT4a_R0_slot_STLSQ_t0.0001,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,281.1028184877777,-699.5701444868641
BATT4a_R0_slot_STLSQ_t0.0001,BATT3c_constant_ecm,train,52.442672171675596,40.845833243857335,22.113363884004638
BATT4a_R0_slot_STLSQ_t0.0001,BATT3c_constant_ecm,validation_temperature,79.30612770895797,69.9114980066268,11.846032549726933
BATT4a_R0_slot_STLSQ_t0.0005,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.8409390673976,-0.23908005169513993
BATT4a_R0_slot_STLSQ_t0.0005,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,281.1028184877777,-699.5701444868641
BATT4a_R0_slot_STLSQ_t0.0005,BATT3c_constant_ecm,train,52.442672171675596,40.845833243857335,22.113363884004638
BATT4a_R0_slot_STLSQ_t0.0005,BATT3c_constant_ecm,validation_temperature,79.30612770895797,69.9114980066268,11.846032549726933
BATT4a_R0_slot_STLSQ_t0.001,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.8409390673976,-0.23908005169513993
BATT4a_R0_slot_STLSQ_t0.001,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,281.1028184877777,-699.5701444868641
BATT4a_R0_slot_STLSQ_t0.001,BATT3c_constant_ecm,train,52.442672171675596,40.845833243857335,22.113363884004638
BATT4a_R0_slot_STLSQ_t0.001,BATT3c_constant_ecm,validation_temperature,79.30612770895797,69.9114980066268,11.846032549726933
BATT4a_R0_slot_STLSQ_t0.002,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.84093773562,-0.23907974610070554
BATT4a_R0_slot_STLSQ_t0.002,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,281.0977626500014,-699.5557636387352
BATT4a_R0_slot_STLSQ_t0.002,BATT3c_constant_ecm,train,52.442672171675596,40.84692905016989,22.111274352203193
BATT4a_R0_slot_STLSQ_t0.002,BATT3c_constant_ecm,validation_temperature,79.30612770895797,69.91149568496688,11.84603547719293
BATT4a_R0_slot_STLSQ_t0.005,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.84074734616377,-0.2390360586569751
BATT4a_R0_slot_STLSQ_t0.005,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,280.99803144407593,-699.272087739786
BATT4a_R0_slot_STLSQ_t0.005,BATT3c_constant_ecm,train,52.442672171675596,40.84542312579367,22.11414591521449
BATT4a_R0_slot_STLSQ_t0.005,BATT3c_constant_ecm,validation_temperature,79.30612770895797,69.91099622145879,11.84666526901674
BATT4a_R0_slot_STLSQ_t0.01,BATT3c_constant_ecm,test_cell_transfer,435.7990305199436,436.8084605751362,-0.23162742101291647
BATT4a_R0_slot_STLSQ_t0.01,BATT3c_constant_ecm,test_high_amplitude,35.15674271056976,268.9779886814538,-665.082223048458
BATT4a_R0_slot_STLSQ_t0.01,BATT3c_constant_ecm,train,52.442672171675596,40.84545718949707,22.114080961042653
BATT4a_R0_slot_STLSQ_t0.01,BATT3c_constant_ecm,validation_temperature,79.30612770895797,69.93917532734551,11.811133202705124
