model,term,dx1_coefficient,dx2_coefficient,active
B1_full_sindy,1,0,0,False
B2_free_residual_sindy,1,0,0,False
B1_full_sindy,x1,0,-0.9999999999999903,True
B2_free_residual_sindy,x1,0,0,False
B1_full_sindy,x2,0.9999999999999917,0,True
B2_free_residual_sindy,x2,0,-0.02900825228149895,True
B1_full_sindy,mu,0,0,False
B2_free_residual_sindy,mu,0,0,False
B1_full_sindy,x1^2,0,0,False
B2_free_residual_sindy,x1^2,0,0,False
B1_full_sindy,x1*x2,0,0,False
B2_free_residual_sindy,x1*x2,0,0,False
B1_full_sindy,x1*mu,0,0,False
B2_free_residual_sindy,x1*mu,0,0,False
B1_full_sindy,x2^2,0,0,False
B2_free_residual_sindy,x2^2,0,0,False
B1_full_sindy,x2*mu,0,0.9999999999999982,True
B2_free_residual_sindy,x2*mu,0,0.9999999999999986,True
B1_full_sindy,mu^2,0,0,False
B2_free_residual_sindy,mu^2,0,0,False
B1_full_sindy,x1^3,0,0,False
B2_free_residual_sindy,x1^3,0,0,False
B1_full_sindy,x1^2*x2,0,0,False
B2_free_residual_sindy,x1^2*x2,0,0,False
B1_full_sindy,x1^2*mu,0,0,False
B2_free_residual_sindy,x1^2*mu,0,0,False
B1_full_sindy,x1*x2^2,0,0,False
B2_free_residual_sindy,x1*x2^2,0,0,False
B1_full_sindy,x1*x2*mu,0,0,False
B2_free_residual_sindy,x1*x2*mu,0,0,False
B1_full_sindy,x1*mu^2,0,0,False
B2_free_residual_sindy,x1*mu^2,0,0,False
B1_full_sindy,x2^3,0,0,False
B2_free_residual_sindy,x2^3,0,0,False
B1_full_sindy,x2^2*mu,0,0,False
B2_free_residual_sindy,x2^2*mu,0,0,False
B1_full_sindy,x2*mu^2,0,0,False
B2_free_residual_sindy,x2*mu^2,0,0,False
B1_full_sindy,mu^3,0,0,False
B2_free_residual_sindy,mu^3,0,0,False
B1_full_sindy,x1^4,0,0,False
B2_free_residual_sindy,x1^4,0,0,False
B1_full_sindy,x1^3*x2,0,0,False
B2_free_residual_sindy,x1^3*x2,0,0,False
B1_full_sindy,x1^3*mu,0,0,False
B2_free_residual_sindy,x1^3*mu,0,0,False
B1_full_sindy,x1^2*x2^2,0,0,False
B2_free_residual_sindy,x1^2*x2^2,0,0,False
B1_full_sindy,x1^2*x2*mu,0,-1.000000000000002,True
B2_free_residual_sindy,x1^2*x2*mu,0,-0.9999999999999901,True
B1_full_sindy,x1^2*mu^2,0,0,False
B2_free_residual_sindy,x1^2*mu^2,0,0,False
B1_full_sindy,x1*x2^3,0,0,False
B2_free_residual_sindy,x1*x2^3,0,0,False
B1_full_sindy,x1*x2^2*mu,0,0,False
B2_free_residual_sindy,x1*x2^2*mu,0,0,False
B1_full_sindy,x1*x2*mu^2,0,0,False
B2_free_residual_sindy,x1*x2*mu^2,0,0,False
B1_full_sindy,x1*mu^3,0,0,False
B2_free_residual_sindy,x1*mu^3,0,0,False
B1_full_sindy,x2^4,0,0,False
B2_free_residual_sindy,x2^4,0,0,False
B1_full_sindy,x2^3*mu,0,0,False
B2_free_residual_sindy,x2^3*mu,0,0,False
B1_full_sindy,x2^2*mu^2,0,0,False
B2_free_residual_sindy,x2^2*mu^2,0,0,False
B1_full_sindy,x2*mu^3,0,0,False
B2_free_residual_sindy,x2*mu^3,0,0,False
B1_full_sindy,mu^4,0,0,False
B2_free_residual_sindy,mu^4,0,0,False
B3_slot_constrained_pc,1,,0,False
B3_slot_constrained_pc,x1,,0,False
B3_slot_constrained_pc,x1^2,,0,False
B3_slot_constrained_pc,mu,,0.9999999999999939,True
B3_slot_constrained_pc,mu*x1,,0,False
B3_slot_constrained_pc,mu*x1^2,,-0.9999999999999986,True
