model,term,dX_coefficient,dS_coefficient,active
B1_full_sindy,1,0.003020208132128505,-0.005491287512960973,True
B2_free_residual_sindy,1,0.003020208132128224,-0.005491287512960463,True
B1_full_sindy,X,-0.003979051082724436,0.007234638332226512,True
B2_free_residual_sindy,X,-0.1731065575080519,0.3147391954691851,True
B1_full_sindy,S,-0.04135968929433106,0.07519943508060271,True
B2_free_residual_sindy,S,-0.04135968929433115,0.07519943508060163,True
B1_full_sindy,X*S,3.079085938413668,-5.598338069843037,True
B2_free_residual_sindy,X*S,3.079085938413667,-5.598338069843034,True
B1_full_sindy,X*S^2,-5.089419394307353,9.25348980783156,True
B2_free_residual_sindy,X*S^2,-5.089419394307356,9.253489807831556,True
B1_full_sindy,X*S^3,4.175276224470437,-7.591411317218988,True
B2_free_residual_sindy,X*S^3,4.175276224470442,-7.591411317218977,True
B1_full_sindy,X*S^4,-1.263704067450479,2.297643759000876,True
B2_free_residual_sindy,X*S^4,-1.263704067450483,2.297643759000871,True
B1_full_sindy,S^2,0.1404869164185104,-0.2554307571245661,True
B2_free_residual_sindy,S^2,0.1404869164185102,-0.2554307571245651,True
B1_full_sindy,S^3,-0.1626001608536745,0.2956366560975944,True
B2_free_residual_sindy,S^3,-0.1626001608536749,0.2956366560975929,True
B1_full_sindy,S^4,0.059445075046605,-0.1080819546301933,True
B2_free_residual_sindy,S^4,0.05944507504660565,-0.1080819546301929,True
B1_full_sindy,X^2,0.002562345351695855,-0.004658809730356937,True
B2_free_residual_sindy,X^2,0.002562345351696313,-0.004658809730356351,True
B1_full_sindy,X^2*S,-0.00547064012529781,0.009946618409634653,True
B2_free_residual_sindy,X^2*S,-0.005470640125297264,0.009946618409630945,True
