record,split,model,n_windows,window_length,n_init,forecast_horizon,mean_rmse_mv,median_rmse_mv,std_rmse_mv,mean_nrmse,median_nrmse,stable_fraction,improvement_vs_windowed_linear_percent
train_fit,internal_fit,windowed_linear,12,300,50,250,54.524878076532794,55.01852645211454,7.599657369448805,1.0205867608831578,1.0055774537192197,1.0,
train_fit,internal_fit,windowed_slot,12,300,50,250,54.57281028102724,55.05781618140037,7.644818322724145,1.021433793355714,1.0057759774063664,1.0,-0.08790887056577146
validation,internal_validation,windowed_linear,8,300,50,250,54.5119523068273,52.103254483477365,7.090443293556303,1.0236907283219723,1.0189772822942844,1.0,
validation,internal_validation,windowed_slot,8,300,50,250,54.56444442141571,52.126622967601676,7.076352144222576,1.0247828457895602,1.019992499055949,1.0,-0.09629468835192759
test_multisine,official_test,windowed_linear,8,300,50,250,54.001246937014685,54.329604631223305,6.2946122298052405,1.016644643956016,1.005458141708903,1.0,
test_multisine,official_test,windowed_slot,8,300,50,250,54.03933767922086,54.447837364920986,6.286666553128043,1.017404944081613,1.0056031515219905,1.0,-0.0705367826980001
test_arrow_full,official_test,windowed_linear,8,300,50,250,46.539685953148066,48.672503452045206,26.66458024077006,1.0292604259242952,1.0052877204615431,1.0,
test_arrow_full,official_test,windowed_slot,8,300,50,250,46.68364782292377,48.69048042081234,26.836589558915822,1.0313651451840276,1.0057187098888218,1.0,-0.30933141646170326
test_arrow_no_extrapolation,official_test,windowed_linear,8,300,50,250,39.231029255575656,41.032647084702155,24.658144925285733,1.0244378792868165,1.0136245931475343,1.0,
test_arrow_no_extrapolation,official_test,windowed_slot,8,300,50,250,39.28696585635701,41.11346355261169,24.68830471428923,1.0256898893121793,1.0142090632469745,1.0,-0.14258254713875743
